date,sum,day,night,sum_c,day_c,night_c
2015/7/1,60515.9029,36480.3513,19318.4804,4099.6735,3008.3461,1091.3271
2015/7/2,61270.8815,37383.6783,19332.737,2939.3527,2230.1077,709.2551
2015/7/3,62523.8197,38576.2023,19646.5286,12902.7056,9530.919,3371.7865
2015/7/4,59202.3464,36193.2062,18522.9379,3546.116,2277.222,1268.8943
2015/7/5,53147.3012,33931.3719,15444.5985,2817.2636,2582.6616,170.3021
2015/7/6,52611.6942,34094.6146,15079.2204,3611.9001,2372.29,1239.62
2015/7/7,54534.49,34483.5439,16278.1147,8584.0723,5847.3449,2736.7275
2015/7/8,55684.038,35234.9729,16703.5181,1903.8508,1565.08,338.7706
2015/7/9,59514.3137,37507.6648,17806.1272,6273.8895,4129.8832,2144.0066
2015/7/10,60322.0445,37883.7777,18361.4233,8942.4661,6053.1803,2889.2858
2015/7/11,59282.8779,37695.0626,17663.0487,5145.7271,2655.3173,2490.4096
2015/7/12,57373.8224,37162.4326,16698.9867,133.7044,105.8372,27.867
2015/7/13,69223.087,45042.3083,20116.5475,1796.4767,1306.327,490.1499
2015/7/14,79335.572,49933.3827,24835.6532,7164.1584,6828.0841,336.0742
2015/7/15,76344.2459,46868.4057,24689.394,1401.5039,845.3939,556.11
2015/7/16,74115.4916,45229.7949,23944.1514,1670.2182,1293.0083,377.2002
2015/7/17,67976.2665,40905.164,22495.4033,2551.8556,1804.0312,747.8244
2015/7/18,68336.0052,42688.8636,21207.4459,4190.7099,2804.66,1386.0501
2015/7/19,70615.2703,45584.5721,20943.3082,4969.8022,3604.7638,1365.0385
2015/7/20,74429.0219,47284.794,22800.5813,2898.52,2112.2498,786.2701
2015/7/21,78917.7448,48978.71,25417.4706,4072.8359,2773.6,1299.2359
2015/7/22,84973.9798,52579.307,27623.375,3966.1825,2676.6291,1289.5533
2015/7/23,88011.4455,54329.3215,28628.8444,62408.5777,24777.5254,35260.6969
2015/7/24,97726.5984,60739.391,30880.5162,3761.494,2361.8638,1399.63
2015/7/25,108322.3822,69641.7,33696.0913,1578.48,1272.54,305.9402
2015/7/26,112515.0684,73739.2477,34277.117,1951.3673,1432.0461,519.3212
2015/7/27,119760.8982,77101.4261,38210.1861,3502.4796,2597.5001,904.9894
2015/7/28,135766.2831,85404.1137,44923.9068,4168.0347,2442.89,1725.145
2015/7/29,136492.4389,83462.7318,46245.1898,3879.0764,1885.3167,1993.76
2015/7/30,127458.9618,77099.9036,44463.4611,3880.2001,2144.85,1735.3499
2015/7/31,132553.5685,81916.6333,44861.3663,2046.54,1219.7529,826.7974
2015/8/1,136903.0119,87769.9701,44455.6952,9972.3729,6773.3219,3199.0608
2015/8/2,137319.5912,91482.6051,41955.1671,1732.5168,1092.2915,640.2251
2015/8/3,135564.2354,86208.4498,44912.1932,2937.9201,2243.3501,694.5699
2015/8/4,135792.4164,86396.7936,44705.6047,489.57,302.3501,187.22
