0_0,0_1,1_0,1_1,2_0,2_1,3_0,3_1,4_0,4_1,5_0,5_1,6_0,6_1,7_0,7_1
2418.8276,2240.296143,338.2093,211.7842407,34269.5784,30577.27344,23789.4133,20773.90625,13326.0418,12249.54297,7.5729,0,407.0149,395.4436035,74556.6582,67509.64063
2401.9952,2244.682129,307.6624,240.8441467,32420.8932,26628.54297,22571.3934,20359.16406,13665.3611,12742.03809,0.55,2.196941376,367.1319,429.1575317,71734.9872,62875.30078
2508.5846,2369.778809,287.22,243.7098083,30187.2768,28808.40039,20954.5595,21030.63086,14423.0491,13402.83789,0.6,2.472655296,348.2823,469.0080261,68709.5723,66240.35938
2492.6895,2345.167236,266.15,287.5732727,29448.683,25585.56641,20294.1657,22001.00195,14366.93,13199.60156,0.24,5.202504158,342.3915,460.7467651,67211.2497,63826.77734
2571.4368,2430.213623,297.88,337.2418823,31652.2737,28556.69727,21454.9399,21607.85156,15460.2465,14135.30957,0.27,2.354573965,384.4426,383.9030457,71821.4895,67933.98438
2556.9834,2362.137451,297.84,306.7687988,30003.8843,27118.29883,20850.6819,20217.94922,14614.3246,13496.95508,0.26,0,362.89,374.6234436,68686.8642,64872.64844
2591.41,2410.543457,298.3191,368.1225586,33219.1364,28683.8418,22999.0946,19914.375,15280.9738,13822.21777,0.4,0.366243005,386.5819,324.8640747,74775.9158,66448.85156
2731.69,2614.693848,320.46,324.2466736,37501.0336,38600.89453,25148.5426,28356.94141,15053.6782,14646.80762,0.5978,8.21321106,349.7062,492.8899536,81105.7084,84570.875
2561.5641,2615.952148,285.61,403.170929,34998.1145,34424.0625,23267.748,24555.41406,16455.5687,16268.15625,0.61,1.061470509,330.123,390.0387573,77899.3383,78808.14063
2546.0055,2557.355957,300.1,282.7127991,36335.523,37518.00391,23514.3175,27288.375,16781.8476,15592.00879,0.45,5.777090549,347.3619,516.2695923,79825.6055,81933.90625
2566.4036,2603.45752,247.81,320.7454224,37702.2869,37027.71484,24698.4763,26785.99609,17117.1632,15735.82324,0.3566,4.473882675,388.5686,471.4585266,82721.0652,82158.28125
2543.51,2616.329346,245.94,332.4394531,38190.52,41298.00391,24989.7055,28599.75781,16768.9769,15987.49316,0.28,3.376127481,369.6104,423.5286865,83108.5428,88491.21094
