0,1,2,3,4,5,6,7,8,9,10,11
81209.4842,77449.1991,48822.89955,75815.72887,74903.61586,73448.62443,75455.79703,71744.26719,75373.87132,74973.30469,74837.94531,75775.85233
76372.3327,70181.5054,49563.12048,65594.25514,66632.48534,68308.70892,65052.98172,64390.62613,64739.36985,62245.69141,62157.72656,63338.08772
83705.4757,71254.782,48904.14331,77606.58006,77748.34886,73507.98328,77027.41664,74931.35547,75734.47187,80962.03125,78878.64063,76348.20154
91918.4083,82721.0652,47344.26311,85836.01535,78190.8948,84167.31503,84918.13855,77706.66338,84625.22623,87659.85156,93356.07031,88884.64323
94726.5258,82647.2441,40088.29256,84956.1878,79650.66054,85737.36057,85412.92528,81661.82815,87405.81347,89701.25781,90960.98438,90076.46477
101241.5622,72874.5093,55521.89898,85828.28649,69442.07022,85367.8246,82424.15593,81162.52168,88430.56697,82333.16406,85339.98438,84483.42675
100959.6575,79639.101,43695.51554,87050.07338,76666.81946,77408.13202,78400.87108,77706.66338,83864.54558,80831.85156,81729.49219,82013.21454
103191.3231,95674.0984,70218.89531,89250.58467,77605.24818,91659.52578,89717.35581,82109.07556,89456.2703,78039.89844,98656.66406,95195.57171
102244.4823,95674.0984,74795.62717,88759.10014,83815.69856,91888.44522,91540.88583,82908.7906,91433.97167,95402.05469,88764.50781,91937.21085
101132.4473,93410.1853,82533.64403,88464.45208,83815.69856,94169.79135,92705.48056,84169.96397,90558.49909,95069.26563,90355.25,91800.88322
102429.0858,88682.777,78818.99875,91256.49431,81671.47088,89544.09722,90092.74283,85857.32152,90414.94344,93614.99219,96071.48438,94343.67473
107750.8458,88682.777,72729.32752,95746.71903,91188.33618,93825.5855,90109.94135,84914.40634,91060.70378,91729.46094,99517.47656,99511.29482
115697.3699,83139.9477,65733.33701,88955.92066,86600.29408,89618.21323,87400.21613,83478.75069,89318.79677,85628.94531,91342.17188,91687.10664
102353.3033,75504.5607,62085.49215,79253.89225,71780.53868,73630.25297,75097.45012,75996.70622,75383.7102,81489.32031,82032.54688,79822.04093
82033.1572,75094.5534,55204.14561,69552.43667,68621.56926,76504.08344,75160.33158,74228.25908,77513.29938,70489.15625,66589.79688,70511.91043
76050.083,74775.9158,70234.24136,57961.23243,59667.0335,65646.68786,65752.34704,59346.80128,66503.13491,58482.86328,56481.92188,61996.71972
76015.429,74132.2489,86584.09686,66482.60609,69284.8565,69485.91329,67951.53721,66257.59351,68336.10576,69981.21875,70300.48438,68972.34969
78929.2219,62357.9341,65875.06224,73304.11273,66844.59538,69789.88829,69307.11821,71744.26719,71480.48426,74266.48438,75756.125,74177.43312
81990.4508,77899.3383,65615.0822,80656.6907,74381.19722,77882.39558,79437.51262,75796.33673,82298.37067,81571.21875,81362.34375,79142.95297
90061.3757,82721.0652,66108.86373,82034.7685,70507.19862,76699.13474,78054.99897,77178.63557,83643.03665,82464.21875,84331.53906,82212.01356
92360.9197,71254.782,65652.09325,79910.71499,68949.70114,78007.97318,77948.65869,76950.77972,80254.06561,81426.27344,79988.42188,79755.56406
82398.7995,79639.101,66931.23113,74315.4729,69937.90624,77372.19302,78101.22016,74931.35547,77102.84706,73210.3125,70573.27344,73001.67559
91895.2087,85130.0744,63270.74835,84345.53486,80761.25418,85408.14354,84264.54304,78788.93035,80761.64532,79751.17188,86944.41406,85276.49509
102052.1278,83992.8298,40570.33887,88641.51001,74353.99728,85406.62269,85016.70189,81661.82815,87772.18062,92961.05469,94774.63281,93829.26246
117506.9959,82647.2441,48860.81331,93430.22112,83642.67628,84784.74942,83536.37137,81593.73321,86029.72271,77509.63281,115751.9922,104783.4062
122868.1624,89112.3287,39330.92016,91597.43627,79855.87148,87248.51173,86616.92209,82109.07556,86134.64989,88862.67969,105534.7891,99879.06121
132024.9157,75094.5534,36058.60202,91336.85277,76948.75792,86346.97366,84203.23319,81593.73321,89742.1564,82723.78125,103786.4531,99518.01999
129845.7497,82647.2441,44484.48273,91230.54532,77194.55204,84063.06795,83570.61653,82613.46087,89341.77339,78911.50781,109901.4844,102082.1037
119432.897,92696.4311,74668.34528,90743.65412,81334.37722,88926.64321,90556.78706,82908.7906,88421.88532,84170.15625,102157.1016,98332.29687
118163.1205,82709.0442,69283.68936,92134.51927,78060.58972,86625.63548,85305.21053,81814.62716,87935.80023,77988.74219,101733.3125,99900.77219
121456.6785,86933.1277,93040.26772,86564.26126,84219.3125,87996.13766,86777.86877,83478.75069,91033.82943,71036.78125,107608.1172,101760.1386
113434.0672,86933.1277,75607.16207,84025.93705,81218.3806,88451.66885,87292.93349,84169.96397,90324.29247,82590.57031,99472.45313,93829.54325
106618.5748,88236.2626,73778.27475,86371.77084,80904.78244,86386.08609,85842.33308,82568.86948,86785.88558,79935.96094,91398.3125,89980.30415
120302.5247,88236.2626,51483.18136,91893.90576,75485.0877,92350.0907,89655.22119,84169.96397,89638.24076,83259.79688,98954.03906,98005.57799
123146.0969,88236.2626,60178.06919,95757.82667,79475.1224,93079.93549,90104.89566,84169.96397,89729.44018,84721.41406,96515.75,100544.2656
110696.9775,88682.777,69722.40566,89908.91907,79589.17062,89807.65243,89771.21268,83478.75069,88529.24035,90452.58594,96675.83594,94770.92626
109280.915,88236.2626,45882.77812,93054.67429,82308.86018,88275.41065,87474.62929,82568.86948,86822.61623,92122.45313,92933.34375,93620.95421
107128.4488,83992.8298,60395.62192,90005.20066,78777.3444,85925.58634,84818.17789,81814.62716,86232.78915,92991.92188,89560.32813,88935.09752
100379.0604,86933.1277,65405.65384,83686.80469,71020.98336,87114.83895,86251.85922,83752.86456,89482.16141,88647.07813,95729.21094,91729.66807
108213.7729,78720.2246,51634.83638,82485.88098,64246.1022,77899.77648,79162.00864,77389.11934,79001.90071,82751.78125,82987.98438,81606.91669
99327.8132,78341.3774,60331.52962,83040.72676,67417.61864,85206.80051,85398.83042,81511.1549,89724.79755,79711.375,90495.74219,89359.19787
86670.8211,86933.1277,71022.30584,83348.39851,85684.49464,85284.09702,85958.42948,82604.27831,86710.30291,94393.39063,95284.11719,89685.9108
83496.0629,89225.5382,82903.7545,86204.22611,79890.34326,90195.41127,89990.37022,81571.21148,87838.92993,86624.14844,89673.07813,90646.6427
75332.118,83021.6372,55875.7607,80791.87528,71554.26098,83262.82538,81502.85292,79480.55106,79874.65796,85373.5625,80914.67969,81573.00714
63678.9232,63397.9522,76048.58651,62379.67955,62925.12528,62854.33886,64645.21048,61302.6939,63703.53916,55715.17578,56369.06641,60601.61824
71803.107,70741.6086,51177.1632,66465.37861,63460.00886,69742.49825,69254.0554,70719.20632,65644.67081,73520.125,67184.9375,65848.62705
71737.2618,87404.6427,32829.61388,77918.778,63460.00886,73560.8042,72770.20272,77389.11934,74913.94218,73984.875,80725.60938,77042.45516
62309.5763,82647.2441,37190.59842,75467.95232,68540.75296,72027.34907,74338.5029,79480.55106,77095.27441,70557.4375,73468.60938,72460.64306
66055.1334,70741.6086,31985.58148,70978.46096,64788.16866,72446.25732,72896.79568,75324.34136,72157.21815,78254.88281,74803.32813,70742.92012
69521.1369,82721.0652,33930.9182,74421.72219,63369.36412,73115.51785,72677.16447,72111.96148,68938.85095,72952.34375,66203.80469,68808.90944
74792.1616,82721.0652,52734.33528,72805.05824,67525.96788,73450.83871,72595.00749,72656.22335,68603.00444,71977.67969,71582.64844,70961.12058
81127.5473,77899.3383,43863.41931,72311.48794,66389.9184,73450.83871,72624.407,74931.35547,70741.0956,70467.82813,70245.42969,70518.15731
79435.961,78720.2246,69384.7927,78270.10764,70855.21232,77552.34538,76721.86942,76829.38853,76052.42572,79320.29688,78745.625,78392.38372
73315.7106,82647.2441,42732.32562,77895.79994,71032.33522,78612.67951,76781.60228,78944.96612,77796.63491,78097.35938,76269,77654.14127
74136.9476,70181.5054,60129.32293,73187.99833,71732.35744,69849.87463,66783.7739,66257.59351,68383.25644,76117.89063,74932.05469,71955.513
78167.9872,65024.2162,41084.88269,75847.49034,71045.55738,66739.22338,65555.86948,70505.07897,68910.80629,79436.13281,78352.36719,73816.65595
70120.0321,64749.0385,64105.75367,66919.20912,67246.47688,68393.81282,67484.14778,65896.02574,65603.3862,65836.07813,64468.04688,65282.53418
64829.1407,67837.8451,72247.28121,57464.07914,61079.7007,64689.43855,65202.89879,61302.6939,66740.28195,55195.29688,54052.15625,59569.29892
